drugbank_id,disease_id
DB06285,C0020437
DB06285,C0026141
DB06285,C1809471
DB06285,C1535536
DB01588,C0242205
DB01588,C1623040
DB01588,C1623041
DB11994,C0042781
DB11994,C5441716
DB11994,C5575571
DB11994,C0021847
DB00091,C0033860
DB00091,C0030246
DB01182,C0428977
DB01148,C1258215
DB01148,C4019039
DB01148,C0021843
DB14766,C0027051
DB14766,C0010072
DB14766,C1534922
DB14766,C1534921
DB00946,C0917996
DB00946,C1971649
DB00946,C0007766
DB00998,C0010073
DB05084,C0868560
DB05084,C0451636
DB05084,C0549206
DB12328,C0011849
DB12328,C1802373
DB12328,C0011880
DB00331,C0036974
DB13710,C0948807
DB13710,C0086565
DB00580,C0030201
DB00580,C1619712
DB00921,C0236124
DB13114,C0018799
DB13114,C0947842
DB13114,C1971641
DB13114,C1971640
DB13612,C0151664
DB12545,C0024799
DB12545,C0030920
DB12545,C1384631
DB12545,C1971686
DB12545,C1579179
DB13689,C0343051
DB15968,C0242205
DB15968,C1623040
DB15968,C1623041
DB01394,C0948807
DB01394,C0086565
DB01394,C1565489
DB01394,C0035078
DB01394,C0232807
DB11994,C0868560
DB11994,C0451636
DB11994,C0549206
DB09293,C0868560
DB09293,C0451636
DB09293,C0549206
DB00242,C0242205
DB00242,C1623040
DB00242,C1623041
DB00692,C0542052
DB15777,C0019342
DB12768,C0434133
DB15990,C0034063
DB15819,C0238357
DB15819,C0030443
DB09007,C0017601
DB09007,C0851705
DB15263,C0868560
DB15263,C0451636
DB15263,C0549206
DB00001,C0033860
DB00001,C0030246
DB01357,C0040038
DB16619,C4761103
DB16619,C0026896
DB16619,C0751339
DB16619,C0751340
DB08971,C0002438
DB00247,C0085096
DB00247,C1306889
DB16021,C0006145
DB02362,C0020461
DB02362,C5979967
DB00041,C2004435
DB13487,C0868560
DB13487,C0451636
DB13487,C0549206
DB00572,C2363890
DB13064,C1739363
DB13064,C2937421
DB13064,C1704272
DB00780,C0455550
DB15578,C4761103
DB15578,C0026896
DB15578,C0751339
DB15578,C0751340
DB09039,C3888997
DB09039,C1827317
DB09039,C4707312
DB09039,C3203671
DB13169,C0242205
DB13169,C1623040
DB13169,C1623041
DB16625,C0311370
DB01329,C4039184
DB13735,C0235063
DB00867,C0000768
DB11738,C0588008
DB00304,C0852402
DB00304,C0018681
DB00304,C0877781
DB00304,C0474366
DB00304,C0751190
DB00304,C0751192
DB00304,C0423623
DB00304,C0028838
DB00304,C0751189
DB00304,C0423618
DB00304,C0751186
DB00304,C0751187
DB00304,C0439024
DB01205,C0029944
DB01205,C3888438
DB01205,C4018909
DB08814,C0007787
DB08814,C1579022
DB08814,C1546197
DB00372,C0868560
DB00372,C0451636
DB00372,C0549206
DB13231,C0020437
DB13231,C0026141
DB13231,C1809471
DB13231,C1535536
DB04855,C0151517
DB17083,C0868560
DB17083,C0451636
DB17083,C0549206
DB08813,C5234922
DB08813,C5392835
DB08813,C5392098
DB08813,C0472369
DB08813,C2937358
DB00422,C0751900
DB00422,C0040188
DB01638,C0003460
DB01214,C0264906
DB13313,C0868560
DB13313,C0451636
DB13313,C0549206
DB09072,C0268631
DB01083,C0868560
DB01083,C0451636
DB01083,C0549206
DB13528,C0154251
DB00695,C0003460
DB00819,C0022658
DB00819,C0027697
DB00819,C0027704
DB00819,C1565489
DB00819,C0851590
DB00819,C0268731
DB00819,C1704377
DB00819,C0017658
DB00819,C0694525
DB00819,C0042075
DB00203,C1852242
DB00203,C6008918
DB00203,C0155305
DB14583,C0006142
DB06736,C0155880
DB06736,C0004096
DB06736,C1387164
DB06736,C1260881
DB06736,C0494660
DB06736,C1388869
DB06736,C0155877
DB06736,C0264411
DB06736,C1319018
DB04573,C0868560
DB04573,C0451636
DB04573,C0549206
DB00986,C1527336
DB00986,C0086981
DB00986,C1571967
DB00599,C5848306
DB00599,C5848305
DB00795,C5848306
DB00795,C5848305
DB00956,C0038218
DB00956,C4319581
DB15883,C0009324
DB15883,C0033247
DB00783,C0459853
DB08801,C1739363
DB08801,C2937421
DB08801,C1704272
DB11150,C0004052
DB00252,C0264906
DB01320,C0085610
DB11817,C0868560
DB11817,C0451636
DB11817,C0549206
DB04165,C0860207
DB04165,C4277682
DB04165,C0019193
DB04165,C3658290
DB04165,C1262760
DB04165,C4279912
DB00956,C0750897
DB00956,C0302369
DB00956,C0001957
DB00286,C0023895
DB00286,C0086565
DB00286,C0741485
DB00741,C0553576
DB11866,C0020598
DB11866,C1535536
DB14591,C0007222
DB14591,C0741923
DB14591,C1971640
DB14591,C1971641
DB00612,C0264906
DB11742,C0868560
DB11742,C0451636
DB11742,C0549206
DB00396,C0040038
DB08860,C0438717
DB08860,C0859350
DB01403,C0151559
DB01403,C0549249
DB03127,C0242205
DB03127,C1623040
DB03127,C1623041
DB01750,C0276622
DB01750,C0042721
DB15921,C0242205
DB15921,C1623040
DB15921,C1623041
DB00867,C4551472
DB00867,C0700053
DB00867,C1971648
DB00867,C0007194
DB00984,C0678222
DB00984,C0006142
DB00367,C0000817
DB15990,C0036974
DB15990,C0020683
DB15990,C0404971
DB06174,C1565489
DB06174,C0035078
DB06174,C0232807
DB14634,C0035854
DB14634,C1449852
DB14634,C1275718
DB14634,C1449853
DB14634,C1449854
DB14634,C0406486
DB14634,C1542814
DB14500,C0020461
DB14500,C5979967
DB15842,C0018794
DB15842,C0004331
DB15842,C2363058
DB15842,C1541924
DB15842,C0004245
DB14678,C0027051
DB14678,C0010072
DB14678,C1534922
DB14678,C1534921
DB00770,C5574735
DB00770,C0600031
DB09267,C0231441
DB01015,C0151763
DB01015,C0160390
DB13949,C0018995
DB13949,C0392514
DB13949,C1534239
DB00542,C0002994
DB08877,C0242205
DB08877,C1623040
DB08877,C1623041
DB00695,C0023890
DB00695,C1579182
DB00683,C4761103
DB00683,C0026896
DB00683,C0751339
DB00683,C0751340
DB01193,C0036980
DB13194,C0401149
DB01426,C0018801
DB01426,C1328273
DB01426,C2882277
DB01426,C0018802
DB01426,C0235527
DB01426,C1961112
DB01426,C0023212
DB01750,C0014012
DB13290,C0267071
DB13290,C0011168
DB13290,C0267072
DB13290,C3854283
DB13290,C1542154
DB06800,C0236124
DB13642,C0080203
DB13612,C0019087
DB13612,C1458140
DB13612,C0005779
DB06725,C1458140
DB06725,C0005779
DB14634,C0162628
DB06480,C0021843
DB06480,C4553808
DB06480,C1579845
DB09273,C0242205
DB09273,C1623040
DB09273,C1623041
DB15790,C0003811
DB15790,C0264886
DB14587,C0571550
DB06710,C1277615
DB01243,C0008049
DB01243,C0586989
DB08869,C0868560
DB08869,C0451636
DB08869,C0549206
DB09460,C0151476
DB00663,C0263449
DB00663,C1275718
DB15903,C0022346
DB15903,C0242183
DB04573,C5848306
DB04573,C5848305
DB13415,C0242205
DB13415,C1623040
DB13415,C1623041
DB13423,C0039730
DB13423,C2004288
DB13423,C1534246
DB00193,C0728899
DB00193,C0600688
DB00193,C0032343
DB15815,C0042963
DB15815,C1971680
DB15815,C1963661
DB13169,C4305538
DB13169,C0027726
DB13169,C0403398
DB13169,C0403397
DB13169,C0403396
DB13169,C3501848
DB13169,C0027721
DB09287,C0585136
DB09287,C0522063
DB13949,C0002878
DB13497,C0025160
DB13497,C1384597
DB00664,C0018939
DB00664,C0947743
DB00664,C1533163
DB01029,C0868560
DB01029,C0451636
DB01029,C0549206
DB01646,C3536603
DB00652,C0400843
DB00091,C0852479
DB00091,C0006826
DB00091,C1306459
DB00091,C1579213
DB14960,C0730278
DB09300,C0039231
DB09300,C0080203
DB04824,C0267596
DB04824,C0019081
DB09389,C0206669
DB15921,C0868560
DB15921,C0451636
DB15921,C0549206
DB14766,C0037188
DB00586,C1458140
DB00586,C0005779
DB15578,C0025162
DB00965,C2711956
DB13844,C0039231
DB13844,C0080203
DB01136,C0004096
DB08822,C0003460
DB00191,C0868560
DB00191,C0451636
DB00191,C0549206
DB00111,C0948807
DB00111,C0086565
DB00541,C0011303
DB00541,C0011304
DB00994,C0021843
DB00994,C4553808
DB00994,C1579845
DB06410,C0020437
DB06410,C0026141
DB06410,C1809471
DB06410,C1535536
DB04711,C0868560
DB04711,C0451636
DB04711,C0549206
DB13194,C1827786
DB13256,C0242205
DB13256,C1623040
DB13256,C1623041
DB11614,C4511461
DB01167,C0018802
DB01167,C1541842
DB01167,C1541843
DB14015,C0003460
DB14233,C0020621
DB14233,C1534241
